X,Y,Z,SIGNAL_STRENGTH
-13,-1069,1707,24
-6,-510,870,40
-6,-485,855,40
-4,-336,609,48
-4,-319,586,40
-4,-321,598,32
-4,-324,613,40
-5,-462,926,64
-5,-458,931,56
-5,-442,914,32
-5,-425,904,56
-5,-411,886,56
-7,-596,1347,24
-4,-371,896,48
-4,-375,919,64
-4,-366,912,64
-4,-362,918,64
-4,-367,946,64
-4,-362,952,56
-4,-362,969,48
-4,-366,998,40
-4,-347,967,48
-4,-343,973,48
-4,-343,988,56
-4,-301,919,48
-3,-290,906,56
-3,-283,903,64
-3,-264,898,48
-2,-200,867,48
-2,-197,877,56
-2,-187,853,56
-2,-180,871,48
-2,-181,898,40
-2,-160,872,32
-2,-149,876,64
-2,-143,873,48
-2,-141,890,40
-2,-137,903,40
-1,-125,887,64
-1,-118,883,64
-1,-96,864,64
-1,-93,886,32
-1,-60,873,56
-1,-63,1401,32
0,-20,925,40
0,-15,928,40
0,-10,933,48
0,-4,950,56
0,0,895,56
0,4,908,56
0,10,879,48
0,15,892,56
0,19,834,48
0,24,859,40
0,31,895,56
0,39,943,56
1,43,910,48
1,49,911,56
1,68,1031,40
1,72,1009,56
1,84,1006,72
1,92,1030,56
1,96,1010,48
1,122,971,48
2,137,1037,40
2,145,1059,64
2,129,898,64
2,133,890,40
2,170,979,56
2,175,972,56
2,182,978,56
2,190,991,48
2,181,885,56
2,189,899,48
2,190,874,40
3,284,1205,48
4,297,1198,48
2,190,624,48
15,1281,3533,16
4,353,908,64
4,355,898,40
5,386,929,56
5,383,908,64
5,394,918,32
5,404,926,56
5,407,916,64
5,427,935,56
5,442,938,48
5,444,928,56
6,480,987,48
2,172,205,16
11,949,1040,48
11,924,957,32
11,970,973,32
13,1070,987,40
12,1019,930,56
12,1055,950,32
12,1049,922,48
13,1097,857,32
13,1083,729,24
12,1026,682,32
12,1044,686,48
12,1018,618,40
12,1009,605,40
12,1020,587,56
14,1229,678,40
28,2372,1150,16
13,1071,466,48
11,957,402,40
10,888,368,64
11,911,371,40
11,900,360,40
11,902,356,64
11,939,363,64
11,895,335,64
11,921,338,32
11,907,315,56
11,899,305,64
11,933,311,64
11,929,304,64
11,910,292,40
11,916,287,56
11,904,278,56
11,928,279,56
11,912,268,32
11,904,260,64
11,908,256,64
11,908,251,32
11,905,244,64
11,912,240,40
11,912,234,40
11,920,231,40
10,880,214,56
10,885,211,40
10,848,197,48
10,874,197,56
10,830,182,64
10,842,180,32
9,796,165,72
9,795,160,40
10,832,163,72
10,826,157,72
9,790,145,64
9,767,136,40
9,750,128,48
9,729,120,48
8,715,113,48
8,694,106,56
8,691,102,56
8,685,96,40
4,353,48,64
4,353,46,80
4,357,44,80
4,354,41,80
4,352,39,80
4,355,37,88
4,350,35,80
4,331,31,80
4,313,27,80
4,309,25,80
4,308,23,80
4,306,21,80
4,301,19,80
4,300,17,80
4,299,16,80
3,296,14,80
3,290,12,80
3,282,10,88
3,277,8,88
3,268,6,80
3,255,4,80
3,253,3,88
3,256,1,88
3,251,0,88
3,252,-2,88
3,247,-3,88
3,245,-4,88
3,245,-6,88
3,242,-7,88
3,242,-9,88
3,239,-10,88
3,237,-11,88
3,215,-11,88
2,201,-12,88
2,196,-13,88
2,192,-14,96
2,188,-14,88
2,182,-15,80
2,176,-16,88
2,167,-16,88
2,162,-16,88
2,163,-17,88
2,157,-18,88
2,157,-18,88
2,152,-19,96
2,149,-19,88
2,149,-20,96
2,148,-21,88
2,145,-21,88
2,144,-22,88
2,141,-23,96
2,141,-23,88
2,137,-24,88
2,135,-24,88
2,128,-24,96
1,124,-24,88
1,123,-24,88
1,122,-24,96
1,120,-25,88
1,118,-25,96
1,114,-25,88
1,112,-25,88
1,108,-25,88
1,110,-26,88
1,107,-26,88
1,105,-26,88
1,106,-27,88
1,102,-27,88
1,102,-28,88
1,102,-28,88
