X,Y,Z,SIGNAL_STRENGTH
-10,-212,90,191
-10,-216,94,191
-10,-214,95,191
-10,-215,98,191
-10,-214,100,191
-10,-216,103,199
-10,-217,105,191
-10,-216,107,199
-10,-215,110,191
-10,-215,112,191
-10,-217,115,199
-10,-217,118,199
-10,-217,120,191
-10,-217,122,199
-10,-215,124,191
-10,-217,128,199
-10,-214,129,199
-10,-217,133,199
-10,-218,136,191
-10,-218,138,199
-10,-215,140,199
-10,-216,143,191
-10,-216,146,191
-10,-214,147,199
-10,-214,149,199
-10,-217,154,199
-10,-215,156,191
-10,-216,159,191
-10,-216,163,191
-10,-214,164,191
-10,-215,168,191
-10,-217,172,191
-10,-217,174,191
-10,-216,177,191
-10,-217,180,191
-10,-217,183,191
-10,-216,186,191
-10,-218,192,191
-10,-217,194,191
-10,-218,199,191
-10,-218,203,183
-10,-218,207,191
-10,-218,210,191
-10,-219,215,191
-10,-220,220,191
-10,-220,224,191
-10,-220,228,191
-10,-219,231,191
-10,-222,238,191
-11,-223,244,191
-10,-222,248,191
-10,-223,253,191
-11,-224,259,191
-11,-224,265,191
-11,-227,273,191
-11,-227,277,191
-11,-229,285,199
-11,-227,288,191
-11,-228,295,191
-11,-229,301,191
-11,-229,306,191
-11,-230,312,191
-11,-229,317,191
-11,-231,326,191
-11,-229,329,191
-11,-231,338,183
-11,-232,346,191
-11,-230,351,199
-11,-232,361,183
-11,-232,368,183
-11,-232,376,183
-11,-231,386,175
-11,-232,398,167
-11,-232,409,183
-23,-493,961,50
-18,-384,940,55
-16,-343,953,50
-14,-306,979,50
-12,-256,966,35
-8,-167,952,40
-6,-129,979,40
-3,-61,687,55
-2,-42,847,65
0,-6,959,65
1,29,874,60
3,54,705,65
4,86,724,60
5,115,709,55
8,169,677,30
17,352,1029,35
19,397,716,60
20,434,709,35
24,509,757,40
28,603,817,55
33,703,732,40
35,737,710,35
59,1243,768,55
13,282,99,65
13,282,96,191
13,284,95,191
13,284,92,191
13,284,89,191
13,284,86,191
13,285,84,191
13,284,81,199
13,286,79,191
14,287,77,199
14,287,74,191
14,288,72,191
14,289,69,191
14,290,66,191
14,292,64,191
14,291,61,191
14,291,58,191
14,290,55,191
14,288,52,191
14,289,50,191
13,286,47,191
14,289,45,191
14,288,42,191
14,287,39,191
14,288,37,191
13,286,34,191
14,288,32,191
14,289,29,199
14,290,27,191
14,298,25,191
14,300,22,191
14,301,19,191
14,299,17,191
14,301,14,199
14,299,12,191
14,303,9,191
14,302,7,191
14,301,4,191
14,302,1,191
14,301,-1,191
14,301,-4,191
14,302,-7,191
14,303,-10,191
14,300,-12,191
14,305,-15,183
15,308,-18,183
15,323,-23,175
18,387,-44,70
14,297,-36,183
14,293,-38,191
14,290,-40,191
14,287,-43,191
14,292,-46,191
14,290,-48,191
13,284,-50,191
13,276,-51,183
12,265,-52,183
12,253,-52,183
12,249,-54,183
5,111,-27,98
5,100,-25,183
5,100,-26,183
5,99,-27,183
4,92,-26,183
5,96,-28,183
5,99,-30,167
5,99,-31,175
5,97,-32,167
4,83,-28,159
4,78,-29,84
4,79,-33,84
3,74,-33,98
4,74,-34,159
5,96,-47,112
5,108,-54,183
5,104,-54,183
5,100,-53,191
5,99,-54,191
4,94,-52,183
5,96,-54,183
4,89,-51,183
4,89,-52,183
4,86,-52,183
4,83,-51,175
4,81,-51,183
4,83,-54,175
4,86,-57,183
4,85,-57,183
4,82,-56,183
4,84,-58,183
4,81,-58,183
4,80,-58,183
4,78,-58,183
4,75,-57,191
3,62,-48,183
2,40,-33,84
2,40,-34,167
2,39,-34,159
2,40,-36,98
2,36,-35,98
-2,-38,-38,191
-2,-34,-34,175
-2,-36,-35,175
-2,-38,-36,183
-2,-35,-32,183
-2,-36,-33,175
-2,-37,-33,183
-2,-40,-35,183
-2,-41,-35,183
-2,-41,-34,183
-3,-42,-35,191
-3,-43,-35,183
-3,-45,-36,183
-3,-44,-34,183
-3,-45,-35,191
-3,-46,-34,191
-3,-48,-35,191
-3,-47,-34,191
-3,-50,-35,183
-3,-50,-35,183
-3,-52,-35,191
-3,-52,-34,183
-3,-55,-36,183
-3,-55,-35,191
-3,-53,-33,191
-3,-57,-35,183
-3,-59,-35,175
-4,-59,-35,183
-4,-62,-36,183
-4,-62,-35,175
-4,-68,-37,167
-4,-65,-35,167
-4,-71,-37,167
-4,-71,-36,159
-4,-70,-34,159
-5,-77,-36,159
-4,-75,-35,159
-5,-80,-36,175
-5,-83,-36,175
-5,-87,-36,175
-5,-86,-35,183
-5,-90,-36,183
-5,-91,-35,183
